k_active,trajectory,seed,control,official_w_corr_global,centered_w_corr_global,alpha_mae,alpha_temporal_variation_ratio,w_temporal_variation_ratio,w_relative_innovation_error
8,simple,20260730,constant_mean_alpha,0.9913650695012866,0.4242055350077434,0.188288,2.9967532120151796e-16,5.596536492570715e-15,0.8948930624836374
8,simple,20260731,constant_mean_alpha,0.9913650695012866,0.4242055350077434,0.188288,2.9967532120151796e-16,5.596536492570715e-15,0.8948930624836374
8,simple,20260732,constant_mean_alpha,0.9913650695012866,0.4242055350077434,0.188288,2.9967532120151796e-16,5.596536492570715e-15,0.8948930624836374
8,simple,20260733,constant_mean_alpha,0.9913650695012866,0.4242055350077434,0.188288,2.9967532120151796e-16,5.596536492570715e-15,0.8948930624836374
8,medium,20260729,constant_mean_alpha,0.9958877166117013,0.5575927157818197,0.14725092471709533,6.362530426394488e-16,7.532469566184178e-15,0.8129393793101977
8,medium,20260730,constant_mean_alpha,0.9958877166117013,0.5575927157818197,0.14725092471709533,6.362530426394488e-16,7.532469566184178e-15,0.8129393793101977
8,medium,20260731,constant_mean_alpha,0.9958877166117013,0.5575927157818197,0.14725092471709533,6.362530426394488e-16,7.532469566184178e-15,0.8129393793101977
8,medium,20260732,constant_mean_alpha,0.9958877166117013,0.5575927157818197,0.14725092471709533,6.362530426394488e-16,7.532469566184178e-15,0.8129393793101977
8,medium,20260733,constant_mean_alpha,0.9958877166117013,0.5575927157818197,0.14725092471709533,6.362530426394488e-16,7.532469566184178e-15,0.8129393793101977
8,complex,20260729,constant_mean_alpha,0.9988863123396956,0.7868842844738075,0.08179116310178461,8.382962241538702e-16,1.589614309584192e-14,0.5915481889479808
8,complex,20260730,constant_mean_alpha,0.9988863123396956,0.7868842844738075,0.08179116310178461,8.382962241538702e-16,1.589614309584192e-14,0.5915481889479808
8,complex,20260731,constant_mean_alpha,0.9988863123396956,0.7868842844738075,0.08179116310178461,8.382962241538702e-16,1.589614309584192e-14,0.5915481889479808
8,complex,20260732,constant_mean_alpha,0.9988863123396956,0.7868842844738075,0.08179116310178461,8.382962241538702e-16,1.589614309584192e-14,0.5915481889479808
8,complex,20260733,constant_mean_alpha,0.9988863123396956,0.7868842844738075,0.08179116310178461,8.382962241538702e-16,1.589614309584192e-14,0.5915481889479808
9,simple,20260729,constant_mean_alpha,0.9910314218670889,0.3950510718196185,0.17320177777777776,5.284220007278033e-16,5.350425543197884e-15,0.9078385007286688
9,simple,20260730,constant_mean_alpha,0.9910314218670889,0.3950510718196185,0.17320177777777776,5.284220007278033e-16,5.350425543197884e-15,0.9078385007286688
9,simple,20260731,constant_mean_alpha,0.9910314218670889,0.3950510718196185,0.17320177777777776,5.284220007278033e-16,5.350425543197884e-15,0.9078385007286688
9,simple,20260732,constant_mean_alpha,0.9910314218670889,0.3950510718196185,0.17320177777777776,5.284220007278033e-16,5.350425543197884e-15,0.9078385007286688
9,simple,20260733,constant_mean_alpha,0.9910314218670889,0.3950510718196185,0.17320177777777776,5.284220007278033e-16,5.350425543197884e-15,0.9078385007286688
9,medium,20260729,constant_mean_alpha,0.9958030531829559,0.5284775070098887,0.13713840876196814,2.7885316869980745e-16,8.011344171727787e-15,0.830808418334676
9,medium,20260730,constant_mean_alpha,0.9958030531829559,0.5284775070098887,0.13713840876196814,2.7885316869980745e-16,8.011344171727787e-15,0.830808418334676
9,medium,20260731,constant_mean_alpha,0.9958030531829559,0.5284775070098887,0.13713840876196814,2.7885316869980745e-16,8.011344171727787e-15,0.830808418334676
9,medium,20260732,constant_mean_alpha,0.9958030531829559,0.5284775070098887,0.13713840876196814,2.7885316869980745e-16,8.011344171727787e-15,0.830808418334676
9,medium,20260733,constant_mean_alpha,0.9958030531829559,0.5284775070098887,0.13713840876196814,2.7885316869980745e-16,8.011344171727787e-15,0.830808418334676
9,complex,20260729,constant_mean_alpha,0.9990167233634437,0.786098099035822,0.07255166635949971,8.7103429713814555e-16,1.6282090924447633e-14,0.589088313033857
9,complex,20260730,constant_mean_alpha,0.9990167233634437,0.786098099035822,0.07255166635949971,8.7103429713814555e-16,1.6282090924447633e-14,0.589088313033857
9,complex,20260731,constant_mean_alpha,0.9990167233634437,0.786098099035822,0.07255166635949971,8.7103429713814555e-16,1.6282090924447633e-14,0.589088313033857
9,complex,20260732,constant_mean_alpha,0.9990167233634437,0.786098099035822,0.07255166635949971,8.7103429713814555e-16,1.6282090924447633e-14,0.589088313033857
9,complex,20260733,constant_mean_alpha,0.9990167233634437,0.786098099035822,0.07255166635949971,8.7103429713814555e-16,1.6282090924447633e-14,0.589088313033857
